Date,Open,High,Low,Close,Volume
1987-05-20,18.63,18.63,18.63,18.63,1.0
1987-05-21,18.63,18.45,18.45,18.45,1.0
1987-05-22,18.45,18.55,18.55,18.55,1.0
1987-05-25,18.55,18.6,18.6,18.6,1.0
1987-05-26,18.6,18.63,18.63,18.63,1.0
1987-05-27,18.63,18.6,18.6,18.6,1.0
1987-05-28,18.6,18.6,18.6,18.6,1.0
1987-05-29,18.6,18.58,18.58,18.58,1.0
1987-06-01,18.58,18.65,18.65,18.65,1.0
1987-06-02,18.65,18.68,18.68,18.68,1.0
1987-06-03,18.68,18.75,18.75,18.75,1.0
1987-06-04,18.75,18.78,18.78,18.78,1.0
1987-06-05,18.78,18.65,18.65,18.65,1.0
1987-06-08,18.65,18.75,18.75,18.75,1.0
1987-06-09,18.75,18.78,18.78,18.78,1.0
1987-06-10,18.78,18.78,18.78,18.78,1.0
1987-06-11,18.78,18.68,18.68,18.68,1.0
1987-06-12,18.68,18.78,18.78,18.78,1.0
1987-06-16,18.78,18.9,18.9,18.9,1.0
1987-06-17,18.9,19.03,19.03,19.03,1.0
1987-06-18,19.03,19.05,19.05,19.05,1.0
1987-06-19,19.05,19.05,19.05,19.05,1.0
1987-06-22,19.05,19.1,19.1,19.1,1.0
1987-06-23,19.1,18.9,18.9,18.9,1.0
1987-06-24,18.9,18.75,18.75,18.75,1.0
1987-06-25,18.75,18.7,18.7,18.7,1.0
1987-06-26,18.7,19.08,19.08,19.08,1.0
1987-06-29,19.08,19.15,19.15,19.15,1.0
1987-06-30,19.15,19.08,19.08,19.08,1.0
1987-07-01,19.08,18.98,18.98,18.98,1.0
1987-07-02,18.98,19.25,19.25,19.25,1.0
1987-07-03,19.25,19.33,19.33,19.33,1.0
1987-07-06,19.33,19.48,19.48,19.48,1.0
1987-07-07,19.48,19.5,19.5,19.5,1.0
1987-07-08,19.5,19.48,19.48,19.48,1.0
1987-07-09,19.48,19.68,19.68,19.68,1.0
1987-07-10,19.68,19.73,19.73,19.73,1.0
1987-07-13,19.73,19.83,19.83,19.83,1.0
1987-07-14,19.83,19.88,19.88,19.88,1.0
1987-07-15,19.88,20.28,20.28,20.28,1.0
1987-07-16,20.28,20.4,20.4,20.4,1.0
1987-07-17,20.4,20.63,20.63,20.63,1.0
1987-07-20,20.63,20.55,20.55,20.55,1.0
1987-07-21,20.55,20.35,20.35,20.35,1.0
1987-07-22,20.35,20.33,20.33,20.33,1.0
1987-07-23,20.33,20.15,20.15,20.15,1.0
1987-07-24,20.15,19.58,19.58,19.58,1.0
1987-07-27,19.58,19.3,19.3,19.3,1.0
1987-07-28,19.3,19.78,19.78,19.78,1.0
1987-07-29,19.78,19.98,19.98,19.98,1.0
1987-07-30,19.98,20.2,20.2,20.2,1.0
1987-07-31,20.2,20.03,20.03,20.03,1.0
1987-08-03,20.03,20.95,20.95,20.95,1.0
1987-08-04,20.95,20.65,20.65,20.65,1.0
1987-08-05,20.65,19.8,19.8,19.8,1.0
1987-08-06,19.8,19.75,19.75,19.75,1.0
1987-08-07,19.75,19.65,19.65,19.65,1.0
1987-08-10,19.65,19.43,19.43,19.43,1.0
1987-08-11,19.43,19.45,19.45,19.45,1.0
1987-08-12,19.45,19.5,19.5,19.5,1.0
1987-08-13,19.5,19.4,19.4,19.4,1.0
1987-08-14,19.4,19.25,19.25,19.25,1.0
1987-08-17,19.25,18.85,18.85,18.85,1.0
1987-08-18,18.85,18.75,18.75,18.75,1.0
1987-08-19,18.75,18.5,18.5,18.5,1.0
1987-08-20,18.5,18.3,18.3,18.3,1.0
1987-08-21,18.3,18.1,18.1,18.1,1.0
1987-08-24,18.1,17.48,17.48,17.48,1.0
1987-08-25,17.48,17.55,17.55,17.55,1.0
1987-08-26,17.55,18.1,18.1,18.1,1.0
1987-08-27,18.1,18.28,18.28,18.28,1.0
1987-08-28,18.28,18.2,18.2,18.2,1.0
1987-08-31,18.2,18.63,18.63,18.63,1.0
1987-09-01,18.63,18.43,18.43,18.43,1.0
1987-09-02,18.43,18.4,18.4,18.4,1.0
1987-09-03,18.4,18.18,18.18,18.18,1.0
1987-09-04,18.18,18.13,18.13,18.13,1.0
1987-09-07,18.13,17.6,17.6,17.6,1.0
