Date,Open,High,Low,Close,Volume
1981-05-01,123.6,123.6,123.6,123.6,3330
1981-05-02,123.5,123.5,123.5,123.5,2040
1981-05-04,120.6,120.6,120.6,120.6,1930
1981-05-06,120.7,120.7,120.7,120.7,1690
1981-05-07,119.3,119.3,119.3,119.3,1480
1981-05-08,118.7,118.7,118.7,118.7,1090
1981-05-09,118.8,118.8,118.8,118.8,598
1981-05-12,118.8,118.8,118.8,118.8,543
1981-05-13,119.9,119.9,119.9,119.9,858
1981-05-14,121.5,121.5,121.5,121.5,1180
1981-05-15,121.4,121.4,121.4,121.4,1550
1981-05-16,121.5,121.5,121.5,121.5,570
1981-05-18,121.1,121.1,121.1,121.1,906
1981-05-19,120.9,120.9,120.9,120.9,952
1981-05-20,121.4,121.4,121.4,121.4,1410
1981-05-21,121.4,121.4,121.4,121.4,1220
1981-05-22,120.8,120.8,120.8,120.8,981
1981-05-23,120.5,120.5,120.5,120.5,829
1981-05-25,121.5,121.5,121.5,121.5,1100
1981-05-26,123.0,123.0,123.0,123.0,1770
1981-05-27,124.8,124.8,124.8,124.8,2250
1981-05-28,125.9,125.9,125.9,125.9,2570
1981-05-29,126.5,126.5,126.5,126.5,2610
1981-05-30,126.3,126.3,126.3,126.3,1290
1981-06-01,126.4,126.4,126.4,126.4,1830
1981-06-02,127.7,127.7,127.7,127.7,3100
1981-06-03,129.8,129.8,129.8,129.8,3130
1981-06-04,128.7,128.7,128.7,128.7,2620
1981-06-05,128.3,128.3,128.3,128.3,1810
1981-06-08,130.1,130.1,130.1,130.1,1550
1981-06-09,132.7,132.7,132.7,132.7,3000
1981-06-10,133.6,133.6,133.6,133.6,3210
1981-06-11,134.7,134.7,134.7,134.7,3650
1981-06-12,136.3,136.3,136.3,136.3,4160
1981-06-13,137.6,137.6,137.6,137.6,1840
1981-06-15,139.5,139.5,139.5,139.5,2990
1981-06-16,142.8,142.8,142.8,142.8,3880
1981-06-17,139.5,139.5,139.5,139.5,2350
1981-06-18,134.8,134.8,134.8,134.8,1170
1981-06-19,138.6,138.6,138.6,138.6,1530
1981-06-20,139.8,139.8,139.8,139.8,1560
1981-06-22,138.8,138.8,138.8,138.8,1380
1981-06-23,139.2,139.2,139.2,139.2,1390
1981-06-24,141.6,141.6,141.6,141.6,1410
1981-06-25,141.8,141.8,141.8,141.8,2320
1981-06-26,142.7,142.7,142.7,142.7,2420
1981-06-27,144.5,144.5,144.5,144.5,1500
1981-06-29,147.3,147.3,147.3,147.3,2020
1981-06-30,150.8,150.8,150.8,150.8,2050
1981-07-01,156.4,156.4,156.4,156.4,3010
1981-07-02,155.0,155.0,155.0,155.0,2580
1981-07-03,155.7,155.7,155.7,155.7,2230
1981-07-04,157.8,157.8,157.8,157.8,1860
1981-07-06,160.9,160.9,160.9,160.9,2620
1981-07-07,165.9,165.9,165.9,165.9,2760
1981-07-08,163.1,163.1,163.1,163.1,2870
1981-07-09,163.8,163.8,163.8,163.8,2260
1981-07-10,159.9,159.9,159.9,159.9,1730
1981-07-11,160.3,160.3,160.3,160.3,1270
1981-07-13,158.3,158.3,158.3,158.3,1870
1981-07-14,155.8,155.8,155.8,155.8,1340
1981-07-15,155.0,155.0,155.0,155.0,1540
1981-07-16,155.9,155.9,155.9,155.9,1510
1981-07-18,158.7,158.7,158.7,158.7,1050
1981-07-20,155.2,155.2,155.2,155.2,878
1981-07-21,155.5,155.5,155.5,155.5,1040
1981-07-22,153.1,153.1,153.1,153.1,959
1981-07-23,150.0,150.0,150.0,150.0,816
1981-07-24,147.8,147.8,147.8,147.8,1030
1981-07-25,149.4,149.4,149.4,149.4,485
1981-07-27,146.9,146.9,146.9,146.9,544
1981-07-28,144.4,144.4,144.4,144.4,820
1981-07-29,145.5,145.5,145.5,145.5,1220
1981-07-30,147.5,147.5,147.5,147.5,1450
1981-07-31,148.1,148.1,148.1,148.1,1310
1981-08-01,148.3,148.3,148.3,148.3,599
1981-08-03,151.0,151.0,151.0,151.0,1490
1981-08-04,151.3,151.3,151.3,151.3,1370
1981-08-05,149.4,149.4,149.4,149.4,800
1981-08-06,151.6,151.6,151.6,151.6,1670
1981-08-07,151.9,151.9,151.9,151.9,966
1981-08-08,151.2,151.2,151.2,151.2,653
1981-08-10,148.9,148.9,148.9,148.9,642
1981-08-11,148.4,148.4,148.4,148.4,664
1981-08-12,147.5,147.5,147.5,147.5,1270
1981-08-13,144.6,144.6,144.6,144.6,1070
1981-08-14,142.4,142.4,142.4,142.4,751
1981-08-17,144.6,144.6,144.6,144.6,995
1981-08-18,141.9,141.9,141.9,141.9,779
1981-08-19,141.0,141.0,141.0,141.0,708
1981-08-20,142.5,142.5,142.5,142.5,646
1981-08-21,145.0,145.0,145.0,145.0,969
1981-08-22,144.1,144.1,144.1,144.1,575
1981-08-24,143.5,143.5,143.5,143.5,651
1981-08-25,140.8,140.8,140.8,140.8,533
1981-08-26,140.5,140.5,140.5,140.5,863
1981-08-27,140.3,140.3,140.3,140.3,792
1981-08-28,141.9,141.9,141.9,141.9,667
1981-08-29,141.5,141.5,141.5,141.5,230
1981-08-31,140.1,140.1,140.1,140.1,273
1981-09-01,140.4,140.4,140.4,140.4,308
1981-09-02,140.2,140.2,140.2,140.2,348
1981-09-03,141.9,141.9,141.9,141.9,422
1981-09-04,143.7,143.7,143.7,143.7,833
1981-09-05,144.5,144.5,144.5,144.5,460
1981-09-07,145.1,145.1,145.1,145.1,921
1981-09-08,144.1,144.1,144.1,144.1,1220
1981-09-09,146.2,146.2,146.2,146.2,965
1981-09-10,145.0,145.0,145.0,145.0,1200
1981-09-11,145.6,145.6,145.6,145.6,1030
1981-09-14,145.1,145.1,145.1,145.1,883
