strategy,strategy_label,review_type,date,score,msci_trend,nasdaq_trend,msci_momentum,msci_volatility,bce_fed_rate,desired_base_regime,pending_regime,pending_count,base_regime,crash_fast_armed,airbag_s3_armed,final_regime,world_weight,nasdaq_weight,cash_weight,world_diff,nasdaq_diff,cash_diff,action_required,action
secondpass_1207,1207,weekly_thursday,1986-07-17,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-07-17,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-07-17,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-07-18,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-07-18,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-07-18,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,1,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-07-24,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,2,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-07-24,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,2,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-07-24,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,2,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-07-25,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,risc-on,2,normal,False,False,normal,60.0,25.0,15.0,0.0,0.0,0.0,False,No cal rebalancejar
